top_k_percent,effective_feedback_percent,mean_best_val_macro_f1,std_best_val_macro_f1,pooled_oof_test_macro_f1
15,7.5,0.4784932831614602,0.04683902477983937,0.38371735640755544
16,8.0,0.4869579055912771,0.03087360477468935,0.427901795081157
17,8.5,0.4897022612301905,0.051052057998413856,0.37234979854421485
18,9.0,0.5108327708057525,0.06244766087792938,0.42320473047837914
19,9.5,0.4849867160064571,0.06490090737046007,0.42242566087634303
20,10.0,0.492036626251468,0.04373151481641278,0.3926292877167768
21,10.5,0.5097203431003476,0.04512641888295865,0.4035043443302518
22,11.0,0.50799006134378,0.03781056551601439,0.43988263459751853
23,11.5,0.4926032576295013,0.07652710418158411,0.4244424196433604
24,12.0,0.46556458292353564,0.03846631106297944,0.38011070597907537
25,12.5,0.48742074214668357,0.06636505844362563,0.41769629089286625
26,13.0,0.4991832281055924,0.041475209979201365,0.4445828621468581
27,13.5,0.5000812505646834,0.02368547653334597,0.41261074468369896
28,14.0,0.4942031334829659,0.017081128960136655,0.43140562793078396
29,14.5,0.48420280563530954,0.03815858451719308,0.42787547871876225
30,15.0,0.4766375101258344,0.031747998266964846,0.4402281337990076
31,15.5,0.48438729377032425,0.04251862453555694,0.4616999705377344
32,16.0,0.45453108487046673,0.03832879136730132,0.4107199041614705
33,16.5,0.48462389661041183,0.01324781211617245,0.41140418811061563
34,17.0,0.4810499035490977,0.04372164535624822,0.4095757937884438
35,17.5,0.49254165596104615,0.04160854481522856,0.4382457616979173
